                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.88025,                0.63668,                 1.1085,                0.89379,                0.94231,                0.97198,                0.68205,                 1.0779,                0.65007,                 1.3635,              0.0014456,              0.0014456,              0.0014456
                     87,                0.83279,                0.62217,                 1.1046,                0.91185,                0.88462,                0.96509,                0.64635,                 1.2522,                0.63976,                 1.4947,               0.001439,               0.001439,               0.001439
                     88,                0.84103,                0.58366,                 1.0831,                 0.9056,                  0.875,                 0.9248,                0.65095,                 1.1295,                0.64086,                 1.4053,              0.0014324,              0.0014324,              0.0014324
                     89,                0.79044,                0.56553,                 1.0715,                0.85609,                0.92308,                0.91756,                0.65132,                 1.1147,                0.64757,                 1.3686,              0.0014258,              0.0014258,              0.0014258
                     90,                0.82457,                0.58575,                 1.0971,                0.92564,                0.79808,                 0.9124,                 0.5953,                  1.205,                0.69027,                  1.453,              0.0014192,              0.0014192,              0.0014192
                     91,                0.83637,                0.58365,                 1.1055,                0.92581,                0.89423,                 0.9607,                0.64909,                 1.1376,                0.58143,                 1.3545,              0.0014126,              0.0014126,              0.0014126
                     92,                 0.7939,                0.55334,                 1.0806,                0.92138,                0.90147,                0.93299,                0.63476,                 1.1376,                0.56308,                 1.3955,               0.001406,               0.001406,               0.001406
                     93,                0.77046,                 0.5533,                 1.0575,                0.91394,                0.91902,                0.95764,                0.68259,                 1.0958,                0.58479,                 1.3826,              0.0013994,              0.0013994,              0.0013994
                     94,                0.78575,                0.57404,                 1.0676,                0.89563,                0.90385,                0.94465,                0.64405,                 1.2107,                0.68037,                 1.5233,              0.0013928,              0.0013928,              0.0013928
                     95,                0.78949,                0.56745,                 1.0725,                0.94079,                0.90385,                0.96541,                0.66355,                 1.1608,                0.67091,                 1.4457,              0.0013862,              0.0013862,              0.0013862
                     96,                0.76781,                0.52618,                 1.0579,                0.90559,                0.88462,                  0.935,                0.66113,                 1.1056,                0.65163,                 1.3642,              0.0013796,              0.0013796,              0.0013796
                     97,                0.79602,                0.56279,                 1.0902,                0.91441,                0.91346,                 0.9484,                0.67025,                 1.1027,                0.60967,                  1.342,               0.001373,               0.001373,               0.001373
                     98,                0.78143,                0.56112,                 1.0805,                0.92145,                0.90237,                0.94682,                0.66321,                 1.0652,                0.61498,                 1.3476,              0.0013664,              0.0013664,              0.0013664
                     99,                0.77354,                0.54574,                 1.0811,                0.91105,                0.88637,                0.94768,                 0.6419,                 1.1148,                0.61586,                 1.4007,              0.0013598,              0.0013598,              0.0013598
                    100,                0.78673,                0.57006,                 1.0923,                0.89851,                0.93646,                 0.9739,                0.64978,                   1.22,                0.63025,                   1.47,              0.0013532,              0.0013532,              0.0013532
                    101,                0.79471,                0.56103,                 1.0813,                 0.9001,                0.95298,                0.97328,                0.66888,                 1.1684,                0.56265,                 1.4576,              0.0013466,              0.0013466,              0.0013466
                    102,                 0.7592,                0.54736,                 1.0703,                0.92228,                 0.9128,                0.97158,                 0.6819,                  1.112,                0.56562,                 1.3867,                0.00134,                0.00134,                0.00134
                    103,                0.76384,                0.53748,                 1.0725,                0.93461,                0.84615,                0.93593,                0.66076,                 1.1558,                0.67853,                 1.4084,              0.0013334,              0.0013334,              0.0013334
                    104,                 0.7817,                 0.5486,                 1.0711,                0.87305,                0.91346,                 0.9508,                0.65015,                 1.2201,                0.67629,                 1.5293,              0.0013268,              0.0013268,              0.0013268
                    105,                0.76895,                0.55949,                 1.0728,                0.90232,                0.90385,                 0.9675,                0.66192,                 1.1242,                0.60561,                 1.4253,              0.0013202,              0.0013202,              0.0013202
                    106,                0.76858,                 0.5389,                 1.0484,                0.91382,                0.91759,                0.94789,                0.63584,                 1.2244,                0.59476,                 1.5203,              0.0013136,              0.0013136,              0.0013136
                    107,                0.72877,                0.52708,                 1.0409,                0.92156,                0.92308,                0.96022,                0.66145,                 1.0884,                0.65624,                 1.3564,               0.001307,               0.001307,               0.001307
                    108,                0.73661,                0.54856,                  1.044,                0.91353,                0.91426,                0.95965,                0.67063,                 1.1338,                0.61048,                 1.3599,              0.0013004,              0.0013004,              0.0013004
                    109,                0.74265,                0.54225,                 1.0564,                0.91817,                0.91346,                0.96308,                0.67167,                 1.0877,                   0.62,                 1.3317,              0.0012938,              0.0012938,              0.0012938
                    110,                0.72245,                0.53228,                 1.0356,                0.88184,                0.95192,                0.96989,                0.68291,                  1.097,                0.58588,                 1.3928,              0.0012872,              0.0012872,              0.0012872
                    111,                0.72533,                0.50457,                 1.0411,                0.91685,                0.95192,                0.97095,                0.65809,                 1.1541,                0.61322,                 1.4331,              0.0012806,              0.0012806,              0.0012806
                    112,                0.72933,                0.51895,                 1.0355,                0.91361,                0.91523,                 0.9702,                0.68985,                 1.0547,                0.59903,                 1.3641,               0.001274,               0.001274,               0.001274
                    113,                0.70124,                0.49408,                 1.0186,                0.95826,                0.88291,                0.96943,                0.70018,                 1.0669,                 0.5732,                 1.3471,              0.0012674,              0.0012674,              0.0012674
                    114,                0.71916,                0.49712,                  1.035,                0.90318,                0.89423,                0.96527,                0.67857,                 1.1739,                0.54425,                  1.442,              0.0012608,              0.0012608,              0.0012608
                    115,                0.70849,                0.51136,                 1.0353,                0.89022,                0.93573,                0.95265,                0.65853,                 1.1113,                0.57502,                 1.3927,              0.0012542,              0.0012542,              0.0012542
                    116,                0.71738,                0.51603,                 1.0465,                0.90362,                0.93269,                0.94652,                0.66418,                 1.1034,                0.55073,                 1.4017,              0.0012476,              0.0012476,              0.0012476
